Date,Price,Open,High,Low,Vol.,Change %
2000-01-03,99.89,101.39,101.57,99.85,2.62K,-1.62%
2000-01-04,100.1,100.18,100.37,99.7,1.00K,0.21%
2000-01-05,100.05,100.09,100.16,99.4,0.89K,-0.05%
2000-01-06,100.34,100.05,100.48,99.6,1.55K,0.29%
2000-01-07,100.5,100.18,100.7,100.16,2.85K,0.16%
2000-01-10,100.65,100.36,100.91,100.4,0.23K,0.15%
2000-01-11,100.26,100.65,100.77,100.16,1.25K,-0.39%
2000-01-12,100.33,100.24,100.61,99.94,0.89K,0.07%
2000-01-13,100.67,100.3,100.88,100.33,0.37K,0.34%
2000-01-14,101.45,100.65,101.74,100.67,0.08K,0.77%
2000-01-18,101.65,101.43,101.86,101.38,1.81K,0.20%
2000-01-19,101.46,101.45,101.84,101.4,0.19K,-0.19%
2000-01-20,101.15,101.5,101.86,100.96,0.56K,-0.31%
2000-01-21,101.51,101.1,101.86,101.05,0.69K,0.36%
2000-01-24,101.96,102.07,102.27,101.87,1.08K,0.44%
2000-01-25,102.15,101.7,102.35,101.75,1.28K,0.19%
2000-01-26,102.26,102.16,102.39,102.07,0.77K,0.11%
2000-01-27,103.03,102.3,103.09,102.28,1.23K,0.75%
2000-01-28,104.34,103.05,104.54,103.05,3.35K,1.27%
2000-01-31,104.97,104.19,105.14,103.92,2.57K,0.60%
2000-02-01,104.77,104.86,105.12,104.4,0.56K,-0.19%
2000-02-02,104.58,104.8,105.16,104.35,1.22K,-0.18%
2000-02-03,103.7,104.52,105.01,103.28,1.85K,-0.84%
2000-02-04,104.2,103.6,104.75,103.42,0.77K,0.48%
2000-02-07,104.54,104.13,104.77,104.17,0.40K,0.33%
2000-02-08,104.12,104.41,104.53,103.75,0.45K,-0.40%
2000-02-09,103.63,104.06,104.05,103.22,0.72K,-0.47%
2000-02-10,104.05,103.5,104.27,103.48,0.59K,0.41%
2000-02-11,104.12,104.12,104.73,104.06,0.51K,0.07%
2000-02-14,104.63,104.05,104.8,103.82,0.39K,0.49%
2000-02-15,104.61,104.72,104.95,104.2,0.47K,-0.02%
2000-02-16,104.14,104.54,104.73,104.11,0.38K,-0.45%
2000-02-17,104.22,104.18,104.57,103.6,1.25K,0.08%
2000-02-18,104.52,104.25,104.83,104.1,0.77K,0.29%
2000-02-22,103.11,104.31,104.16,102.92,1.60K,-1.35%
2000-02-23,103.44,103.15,103.62,103.05,1.13K,0.32%
2000-02-24,103.99,103.39,104.4,103.36,0.96K,0.53%
2000-02-25,105.29,104.17,105.5,104.09,2.10K,1.25%
2000-02-28,105.29,105.2,106.24,105.17,1.02K,0.00%
2000-02-29,105.88,105.6,106.18,104.77,0.95K,0.56%
2000-03-01,104.89,106.16,106.16,104.63,0.92K,-0.94%
2000-03-02,105.67,105.2,105.95,104.77,1.40K,0.74%
2000-03-03,105.99,105.9,106.14,105.5,0.73K,0.30%
2000-03-06,106.2,106.26,106.32,105.5,1.17K,0.20%
2000-03-07,106.1,106.2,106.41,105.82,1.12K,-0.09%
2000-03-08,105.94,105.92,106.63,105.8,0.68K,-0.15%
2000-03-09,105.41,105.79,105.88,105.25,1.00K,-0.50%
2000-03-10,105.75,105.45,105.93,105.52,0.56K,0.32%
2000-03-13,105.54,105.74,105.6,104.85,1.55K,-0.20%
2000-03-14,105.31,105.5,105.78,105.25,0.39K,-0.22%
2000-03-15,105.06,104.9,105.28,104.77,1.58K,-0.24%
2000-03-16,104.8,105.23,105.31,104.63,1.79K,-0.25%
2000-03-17,104.87,104.81,105.25,104.85,0.90K,0.07%
2000-03-20,104.77,104.94,105.16,104.71,0.68K,-0.10%
2000-03-21,105.48,104.77,105.56,104.77,0.55K,0.68%
2000-03-22,105.74,105.88,106.0,105.5,1.78K,0.25%
2000-03-23,104.81,105.64,105.82,104.73,2.78K,-0.88%
2000-03-24,104.42,104.89,105.1,104.25,0.98K,-0.37%
2000-03-27,105.17,104.27,105.34,104.18,0.94K,0.72%
2000-03-28,105.15,105.02,105.3,104.59,1.46K,-0.02%
