"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 26, 2024","105.804","105.455","106.060","105.270","19.70K","0.33%"
"Apr 25, 2024","105.451","105.675","105.870","105.330","14.87K","-0.24%"
"Apr 24, 2024","105.700","105.520","105.790","105.425","8.18K","0.18%"
"Apr 23, 2024","105.505","105.960","106.075","105.445","17.74K","-0.39%"
"Apr 22, 2024","105.913","105.885","106.235","105.825","13.35K","-0.07%"
"Apr 19, 2024","105.984","106.000","106.185","105.670","16.55K","0.00%"
"Apr 18, 2024","105.982","105.790","106.010","105.570","13.62K","0.21%"
"Apr 17, 2024","105.764","106.160","106.255","105.685","15.88K","-0.28%"
"Apr 16, 2024","106.065","105.990","106.325","105.870","16.57K","0.06%"
"Apr 15, 2024","105.998","105.830","106.045","105.640","12.78K","0.16%"
"Apr 12, 2024","105.832","105.070","105.900","105.025","15.71K","0.73%"
"Apr 11, 2024","105.064","105.010","105.310","104.820","18.47K","0.03%"
"Apr 10, 2024","105.031","103.890","105.085","103.795","22.29K","1.07%"
"Apr 09, 2024","103.922","103.870","103.975","103.645","9.44K","0.02%"
"Apr 08, 2024","103.902","104.060","104.210","103.860","14.70K","-0.16%"
"Apr 05, 2024","104.071","104.005","104.460","103.910","18.00K","0.17%"
"Apr 04, 2024","103.891","103.980","104.030","103.680","15.52K","-0.10%"
"Apr 03, 2024","103.997","104.530","104.590","103.970","13.46K","-0.54%"
"Apr 02, 2024","104.562","104.735","104.840","104.420","14.86K","-0.19%"
"Apr 01, 2024","104.764","104.250","104.805","104.135","15.08K","0.47%"
"Mar 28, 2024","104.269","104.135","104.450","104.030","13.70K","0.20%"
"Mar 27, 2024","104.064","104.005","104.165","103.920","11.29K","0.07%"
"Mar 26, 2024","103.991","103.925","104.030","103.710","8.55K","0.05%"
"Mar 25, 2024","103.934","104.165","104.190","103.840","15.04K","-0.23%"
"Mar 22, 2024","104.177","103.665","104.200","103.605","19.17K","0.49%"
"Mar 21, 2024","103.666","102.920","103.740","102.830","21.30K","0.60%"
"Mar 20, 2024","103.046","103.530","103.810","103.030","21.29K","-0.42%"
"Mar 19, 2024","103.484","103.220","103.710","103.210","12.88K","0.02%"
"Mar 18, 2024","103.461","103.455","103.475","103.375","0.01K","0.05%"
"Mar 15, 2024","103.414","103.370","103.480","103.300","4.70K","0.07%"
"Mar 14, 2024","103.342","102.745","103.385","102.725","18.03K","0.56%"
"Mar 13, 2024","102.766","102.920","103.000","102.645","18.10K","-0.16%"
"Mar 12, 2024","102.934","102.770","103.315","102.700","15.46K","0.08%"
"Mar 11, 2024","102.852","102.710","102.915","102.610","19.04K","0.16%"
"Mar 08, 2024","102.688","102.735","102.865","102.300","20.51K","-0.08%"
"Mar 07, 2024","102.772","103.255","103.325","102.760","19.52K","-0.53%"
"Mar 06, 2024","103.321","103.785","103.845","103.150","20.16K","-0.42%"
"Mar 05, 2024","103.753","103.780","103.900","103.520","13.60K","-0.02%"
"Mar 04, 2024","103.778","103.795","103.915","103.675","11.54K","-0.02%"
"Mar 01, 2024","103.799","104.060","104.240","103.780","16.88K","-0.29%"
"Feb 29, 2024","104.098","103.890","104.145","103.595","18.00K","0.19%"
"Feb 28, 2024","103.904","103.750","104.170","103.750","12.25K","0.14%"
"Feb 27, 2024","103.759","103.715","103.860","103.540","9.01K","0.01%"
"Feb 26, 2024","103.751","103.890","103.950","103.630","9.87K","-0.10%"
"Feb 23, 2024","103.859","103.885","103.975","103.690","8.63K","-0.02%"
"Feb 22, 2024","103.875","103.850","104.060","103.115","15.40K","-0.04%"
"Feb 21, 2024","103.912","103.950","104.125","103.845","8.82K","-0.06%"
"Feb 20, 2024","103.978","104.250","104.320","103.690","15.48K","-0.20%"
"Feb 19, 2024","104.182","104.170","104.275","104.040","4.98K","0.00%"
